name,current_month,previous_year_month,variance_month_pct,current_year_to_date,previous_year_to_date,variance_ytd_pct,since_program_start,unit,power_current_month,power_previous_year_month,power_variance_month_pct,power_current_year_to_date,power_previous_year_to_date,power_variance_ytd_pct,power_since_program_start,power_unit,pending_current_year_to_date,pending_previous_year_to_date,pending_variance_ytd_pct,pending_since_2018,pending_share_pct
TUNIS VILLE,44.0,25.0,76.0,83.0,64.0,30.0,1923.0,installations,0.2,0.1,24.0,0.3,0.3,2.0,8.1,MW,33,5,560.0,38,0.7
ARIANA,111.0,57.0,95.0,316.0,212.0,49.0,5688.0,installations,0.5,0.2,94.0,1.2,0.9,35.0,19.9,MW,81,56,45.0,139,2.5
EZZAHRA,200.0,111.0,80.0,249.0,120.0,108.0,4509.0,installations,0.6,0.4,64.0,0.8,0.4,95.0,13.3,MW,66,80,-18.0,201,3.7
MOUROUJ,39.0,48.0,-19.0,153.0,98.0,56.0,2287.0,installations,0.1,0.2,-24.0,0.5,0.3,55.0,6.8,MW,67,24,179.0,91,1.7
KRAM,107.0,59.0,81.0,349.0,172.0,103.0,4820.0,installations,0.4,0.3,75.0,1.3,0.8,69.0,17.8,MW,136,117,16.0,276,5.0
BARDO,59.0,67.0,-12.0,198.0,121.0,64.0,2667.0,installations,0.2,0.2,-12.0,0.7,0.4,75.0,8.1,MW,155,47,230.0,245,4.5
MANNOUBA,97.0,60.0,62.0,209.0,140.0,49.0,2559.0,installations,0.3,0.2,41.0,0.7,0.5,35.0,8.0,MW,43,5,760.0,49,0.9
EL MENZAH,60.0,61.0,-2.0,166.0,167.0,-1.0,4085.0,installations,0.3,0.2,21.0,0.7,0.7,2.0,13.7,MW,78,25,212.0,103,1.9
ZAGHOUAN,28.0,38.0,-26.0,72.0,64.0,13.0,974.0,installations,0.1,0.1,-14.0,0.3,0.2,21.0,3.0,MW,34,26,31.0,111,2.0
BIZERTE,95.0,55.0,73.0,196.0,101.0,94.0,3402.0,installations,0.4,0.2,129.0,0.7,0.3,113.0,10.3,MW,43,6,617.0,49,0.9
MENZEL BOURGUIBA,9.0,17.0,-47.0,51.0,44.0,16.0,709.0,installations,0.0,0.1,-30.0,0.2,0.2,18.0,2.2,MW,10,2,400.0,12,0.2
NABEUL,99.0,171.0,-42.0,333.0,265.0,26.0,4344.0,installations,0.4,0.6,-32.0,1.1,0.9,22.0,13.5,MW,175,117,50.0,395,7.2
MENZEL B-ZELFA,80.0,93.0,-14.0,228.0,150.0,52.0,2688.0,installations,0.3,0.3,-2.0,0.8,0.5,63.0,7.9,MW,88,28,214.0,118,2.2
MENZEL TEMIME,72.0,168.0,-57.0,207.0,219.0,-5.0,2878.0,installations,0.3,0.6,-52.0,0.7,0.8,-3.0,9.2,MW,72,38,89.0,110,2.0
HAMMAMET,133.0,48.0,177.0,202.0,93.0,117.0,2299.0,installations,0.5,0.2,148.0,0.7,0.3,115.0,7.5,MW,168,51,229.0,271,4.9
BEJA,44.0,86.0,-49.0,109.0,92.0,18.0,4185.0,installations,0.1,0.3,-44.0,0.4,0.3,29.0,10.8,MW,11,10,10.0,21,0.4
JENDOUBA,41.0,38.0,8.0,99.0,81.0,22.0,918.0,installations,0.1,0.2,-11.0,0.3,0.3,10.0,3.1,MW,4,2,100.0,6,0.1
KEF,29.0,43.0,-33.0,72.0,99.0,-27.0,1361.0,installations,0.1,0.1,-34.0,0.2,0.3,-29.0,3.8,MW,20,10,100.0,31,0.6
SILIANA,15.0,18.0,-17.0,32.0,30.0,7.0,546.0,installations,0.1,0.1,-5.0,0.1,0.1,46.0,1.7,MW,21,10,110.0,55,1.0
TABARKA,12.0,11.0,9.0,22.0,16.0,38.0,354.0,installations,0.0,0.0,9.0,0.1,0.1,22.0,1.0,MW,2,1,100.0,3,0.1
SOUSSE,125.0,124.0,1.0,300.0,179.0,68.0,4633.0,installations,0.5,0.4,9.0,1.1,0.6,65.0,12.5,MW,44,3,1367.0,47,0.9
SOUSSE NORD,82.0,139.0,-41.0,318.0,163.0,95.0,4942.0,installations,0.3,0.5,-46.0,1.1,0.6,92.0,15.8,MW,51,45,13.0,129,2.4
MONASTIR,126.0,185.0,-32.0,368.0,261.0,41.0,5087.0,installations,0.5,0.7,-28.0,1.3,1.0,37.0,16.5,MW,89,54,65.0,168,3.1
MOKNINE,117.0,259.0,-55.0,551.0,427.0,29.0,7242.0,installations,0.4,0.8,-50.0,2.0,1.4,43.0,22.4,MW,209,34,515.0,245,4.5
MAHDIA,109.0,89.0,22.0,295.0,189.0,56.0,4293.0,installations,0.4,0.3,26.0,1.0,0.6,54.0,12.4,MW,62,11,464.0,79,1.4
KAIROUAN,33.0,20.0,65.0,123.0,69.0,78.0,1780.0,installations,0.1,0.1,69.0,0.4,0.3,65.0,5.3,MW,25,21,19.0,98,1.8
KAIROUAN NORD,8.0,16.0,-50.0,42.0,25.0,68.0,1028.0,installations,0.0,0.0,-37.0,0.1,0.1,99.0,2.9,MW,9,7,29.0,16,0.3
EL JEM,46.0,52.0,-12.0,211.0,75.0,181.0,1672.0,installations,0.1,0.2,-12.0,0.7,0.2,204.0,4.7,MW,36,33,9.0,109,2.0
KASSERINE,7.0,19.0,-63.0,40.0,27.0,48.0,320.0,installations,0.0,0.1,-39.0,0.2,0.1,92.0,1.2,MW,5,1,400.0,6,0.1
SIDI-BOUZID,27.0,21.0,29.0,74.0,48.0,54.0,833.0,installations,0.1,0.1,28.0,0.3,0.2,42.0,3.2,MW,20,8,150.0,35,0.6
GAFSA,23.0,16.0,44.0,90.0,57.0,58.0,1162.0,installations,0.1,0.1,56.0,0.3,0.3,7.0,3.7,MW,27,44,-39.0,107,2.0
METLAOUI,8.0,1.0,700.0,19.0,5.0,280.0,244.0,installations,0.0,0.0,567.0,0.1,0.0,195.0,0.7,MW,10,1,900.0,11,0.2
TOZEUR,3.0,22.0,-86.0,17.0,28.0,-39.0,1796.0,installations,0.0,0.1,-90.0,0.1,0.1,-30.0,4.6,MW,15,12,25.0,50,0.9
MAKNASSY,25.0,1.0,2400.0,48.0,4.0,1100.0,181.0,installations,0.1,0.0,3200.0,0.2,0.0,1179.0,0.6,MW,5,3,67.0,11,0.2
SFAX VILLE,85.0,157.0,-46.0,288.0,278.0,4.0,6301.0,installations,0.3,0.5,-41.0,1.1,1.0,8.0,20.1,MW,94,65,45.0,197,3.6
JBENIANA,98.0,62.0,58.0,237.0,79.0,200.0,2212.0,installations,0.3,0.2,71.0,0.8,0.3,200.0,6.5,MW,48,22,118.0,72,1.3
SFAX NORD,192.0,295.0,-35.0,602.0,445.0,35.0,10112.0,installations,0.7,1.0,-26.0,2.2,1.6,44.0,32.4,MW,158,68,132.0,253,4.6
MAHRES,57.0,26.0,119.0,187.0,95.0,97.0,3121.0,installations,0.2,0.1,95.0,0.7,0.3,108.0,9.8,MW,19,10,90.0,43,0.8
SFAX SUD,158.0,147.0,7.0,458.0,322.0,42.0,9189.0,installations,0.6,0.5,18.0,1.7,1.1,46.0,30.2,MW,167,71,135.0,271,4.9
GABES,56.0,52.0,8.0,201.0,123.0,63.0,2253.0,installations,0.2,0.2,14.0,0.7,0.5,51.0,7.4,MW,126,41,207.0,167,3.1
KEBILI,38.0,63.0,-40.0,186.0,95.0,96.0,3255.0,installations,0.2,0.2,-17.0,0.8,0.3,164.0,9.3,MW,188,22,755.0,210,3.8
ZARZIS,65.0,99.0,-34.0,131.0,112.0,17.0,2182.0,installations,0.3,0.4,-29.0,0.6,0.4,31.0,7.7,MW,54,25,116.0,105,1.9
MEDNINE,56.0,121.0,-54.0,186.0,157.0,18.0,2552.0,installations,0.2,0.4,-53.0,0.6,0.5,20.0,8.3,MW,12,4,200.0,16,0.3
JERBA,103.0,153.0,-33.0,436.0,260.0,68.0,7488.0,installations,0.4,0.6,-37.0,1.6,1.0,62.0,23.4,MW,227,89,155.0,319,5.8
TATAOUINE,31.0,77.0,-60.0,136.0,97.0,40.0,2155.0,installations,0.1,0.2,-51.0,0.5,0.3,55.0,6.9,MW,14,21,-33.0,65,1.2
BEN GUERDENE,23.0,51.0,-55.0,56.0,57.0,-2.0,914.0,installations,0.1,0.2,-42.0,0.3,0.2,25.0,3.2,MW,1,17,-94.0,18,0.3
GABES NORD,27.0,34.0,-21.0,86.0,65.0,32.0,1708.0,installations,0.1,0.1,16.0,0.3,0.2,61.0,5.0,MW,94,52,81.0,193,3.5
