system_size_kwc,current_month,previous_year_month,variance_month_pct,current_year_to_date,previous_year_to_date,variance_ytd_pct,since_program_start,unit
1,6.0,7.0,8.0,9.0,10.0,11.0,12.0,installations
2,441.0,652.0,-32.0,1256.0,1068.0,18.0,54213.0,installations
3,1546.0,2071.0,-25.0,4654.0,3355.0,39.0,49054.0,installations
4,674.0,396.0,70.0,1895.0,759.0,150.0,15599.0,installations
5,175.0,204.0,-14.0,534.0,358.0,49.0,6528.0,installations
6,152.0,106.0,43.0,400.0,191.0,109.0,3791.0,installations
7,42.0,20.0,110.0,92.0,54.0,70.0,1211.0,installations
8,29.0,31.0,-6.0,61.0,70.0,-13.0,1193.0,installations
9,13.0,10.0,30.0,26.0,37.0,-30.0,566.0,installations
10,28.0,26.0,8.0,80.0,54.0,48.0,1249.0,installations
11,6.0,12.0,-50.0,19.0,25.0,-24.0,334.0,installations
12,61.0,71.0,-14.0,184.0,174.0,6.0,2919.0,installations
