district,current_year_to_date,previous_year_to_date,variance_ytd_pct,since_2018,share_pct
TUNIS VILLE,33,5,560.0,38,0.7
ARIANA,81,56,45.0,139,2.5
EZZAHRA,66,80,-18.0,201,3.7
MOUROUJ,67,24,179.0,91,1.7
KRAM,136,117,16.0,276,5.0
BARDO,155,47,230.0,245,4.5
MANNOUBA,43,5,760.0,49,0.9
EL MENZAH,78,25,212.0,103,1.9
ZAGHOUAN,34,26,31.0,111,2.0
BIZERTE,43,6,617.0,49,0.9
MENZEL BOURGUIBA,10,2,400.0,12,0.2
NABEUL,175,117,50.0,395,7.2
MENZEL B-ZELFA,88,28,214.0,118,2.2
MENZEL TEMIME,72,38,89.0,110,2.0
HAMMAMET,168,51,229.0,271,4.9
BEJA,11,10,10.0,21,0.4
JENDOUBA,4,2,100.0,6,0.1
KEF,20,10,100.0,31,0.6
SILIANA,21,10,110.0,55,1.0
TABARKA,2,1,100.0,3,0.1
SOUSSE,44,3,1367.0,47,0.9
SOUSSE NORD,51,45,13.0,129,2.4
MONASTIR,89,54,65.0,168,3.1
MOKNINE,209,34,515.0,245,4.5
MAHDIA,62,11,464.0,79,1.4
KAIROUAN,25,21,19.0,98,1.8
KAIROUAN NORD,9,7,29.0,16,0.3
EL JEM,36,33,9.0,109,2.0
KASSERINE,5,1,400.0,6,0.1
SIDI-BOUZID,20,8,150.0,35,0.6
GAFSA,27,44,-39.0,107,2.0
METLAOUI,10,1,900.0,11,0.2
TOZEUR,15,12,25.0,50,0.9
MAKNASSY,5,3,67.0,11,0.2
SFAX VILLE,94,65,45.0,197,3.6
JBENIANA,48,22,118.0,72,1.3
SFAX NORD,158,68,132.0,253,4.6
MAHRES,19,10,90.0,43,0.8
SFAX SUD,167,71,135.0,271,4.9
GABES,126,41,207.0,167,3.1
KEBILI,188,22,755.0,210,3.8
ZARZIS,54,25,116.0,105,1.9
MEDNINE,12,4,200.0,16,0.3
JERBA,227,89,155.0,319,5.8
TATAOUINE,14,21,-33.0,65,1.2
BEN GUERDENE,1,17,-94.0,18,0.3
GABES NORD,94,52,81.0,193,3.5
MSAKEN,44,7,529.0,64,1.2
SBEITLA,4,2,100.0,14,0.3
ENFIDHA,7,13,-46.0,33,0.6
